File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU
frankfurt_000001_061682_gtFine_labelTrainIds.png,94.05,92.71,-1.35
frankfurt_000001_061763_gtFine_labelTrainIds.png,96.56,93.68,-2.88
frankfurt_000001_062016_gtFine_labelTrainIds.png,96.84,96.64,-0.2
frankfurt_000001_062250_gtFine_labelTrainIds.png,93.86,91.52,-2.34
frankfurt_000001_062396_gtFine_labelTrainIds.png,95.0,91.66,-3.33
frankfurt_000001_062509_gtFine_labelTrainIds.png,95.22,91.87,-3.35
frankfurt_000001_062653_gtFine_labelTrainIds.png,94.27,89.23,-5.03
frankfurt_000001_062793_gtFine_labelTrainIds.png,96.11,90.17,-5.94
frankfurt_000001_063045_gtFine_labelTrainIds.png,91.01,88.44,-2.57
frankfurt_000001_064130_gtFine_labelTrainIds.png,92.9,88.78,-4.12
frankfurt_000001_064305_gtFine_labelTrainIds.png,92.65,89.38,-3.27
frankfurt_000001_064651_gtFine_labelTrainIds.png,93.65,90.29,-3.36
frankfurt_000001_064798_gtFine_labelTrainIds.png,96.89,90.86,-6.04
frankfurt_000001_064925_gtFine_labelTrainIds.png,95.26,92.56,-2.7
frankfurt_000001_065160_gtFine_labelTrainIds.png,95.65,94.05,-1.61
frankfurt_000001_065617_gtFine_labelTrainIds.png,94.41,90.47,-3.95
frankfurt_000001_065850_gtFine_labelTrainIds.png,91.32,89.82,-1.5
frankfurt_000001_066092_gtFine_labelTrainIds.png,94.14,92.22,-1.92
frankfurt_000001_066438_gtFine_labelTrainIds.png,90.59,83.27,-7.32
frankfurt_000001_066574_gtFine_labelTrainIds.png,84.85,81.77,-3.08
frankfurt_000001_066832_gtFine_labelTrainIds.png,96.17,91.18,-4.99
frankfurt_000001_067092_gtFine_labelTrainIds.png,83.79,82.76,-1.04
frankfurt_000001_067178_gtFine_labelTrainIds.png,94.23,88.17,-6.05
frankfurt_000001_067295_gtFine_labelTrainIds.png,92.49,92.76,0.27
frankfurt_000001_067474_gtFine_labelTrainIds.png,95.82,92.97,-2.85
frankfurt_000001_067735_gtFine_labelTrainIds.png,93.93,91.66,-2.27
frankfurt_000001_068063_gtFine_labelTrainIds.png,95.4,95.21,-0.2
frankfurt_000001_068208_gtFine_labelTrainIds.png,94.82,94.03,-0.78
frankfurt_000001_068682_gtFine_labelTrainIds.png,90.42,90.68,0.26
frankfurt_000001_068772_gtFine_labelTrainIds.png,95.44,94.38,-1.06
frankfurt_000001_069633_gtFine_labelTrainIds.png,96.64,92.38,-4.26
frankfurt_000001_070099_gtFine_labelTrainIds.png,78.95,77.96,-0.98
frankfurt_000001_071288_gtFine_labelTrainIds.png,93.7,92.04,-1.66
frankfurt_000001_071781_gtFine_labelTrainIds.png,93.4,92.11,-1.28
frankfurt_000001_072155_gtFine_labelTrainIds.png,92.57,90.61,-1.96
frankfurt_000001_072295_gtFine_labelTrainIds.png,93.88,93.22,-0.66
frankfurt_000001_073088_gtFine_labelTrainIds.png,93.41,90.4,-3.01
frankfurt_000001_073243_gtFine_labelTrainIds.png,93.28,91.38,-1.9
frankfurt_000001_073464_gtFine_labelTrainIds.png,95.9,95.47,-0.44
frankfurt_000001_073911_gtFine_labelTrainIds.png,95.66,91.98,-3.68
frankfurt_000001_075296_gtFine_labelTrainIds.png,92.75,88.09,-4.66
frankfurt_000001_075984_gtFine_labelTrainIds.png,92.55,90.27,-2.28
frankfurt_000001_076502_gtFine_labelTrainIds.png,94.3,90.89,-3.42
frankfurt_000001_077092_gtFine_labelTrainIds.png,91.41,90.51,-0.9
frankfurt_000001_077233_gtFine_labelTrainIds.png,95.87,91.55,-4.32
frankfurt_000001_077434_gtFine_labelTrainIds.png,92.69,89.39,-3.3
frankfurt_000001_078803_gtFine_labelTrainIds.png,93.42,87.65,-5.77
frankfurt_000001_079206_gtFine_labelTrainIds.png,94.91,88.52,-6.38
frankfurt_000001_080091_gtFine_labelTrainIds.png,95.28,91.97,-3.32
frankfurt_000001_080391_gtFine_labelTrainIds.png,95.37,94.31,-1.06
frankfurt_000001_080830_gtFine_labelTrainIds.png,90.5,66.74,-23.76
frankfurt_000001_082087_gtFine_labelTrainIds.png,92.29,92.63,0.34
frankfurt_000001_082466_gtFine_labelTrainIds.png,93.88,89.82,-4.06
frankfurt_000001_083029_gtFine_labelTrainIds.png,95.87,95.73,-0.14
frankfurt_000001_083199_gtFine_labelTrainIds.png,95.65,95.44,-0.21
frankfurt_000001_083852_gtFine_labelTrainIds.png,95.12,92.6,-2.52
lindau_000000_000019_gtFine_labelTrainIds.png,96.61,94.64,-1.97
lindau_000001_000019_gtFine_labelTrainIds.png,95.81,94.61,-1.2
lindau_000002_000019_gtFine_labelTrainIds.png,93.0,92.36,-0.63
lindau_000003_000019_gtFine_labelTrainIds.png,93.97,93.34,-0.63
lindau_000004_000019_gtFine_labelTrainIds.png,93.35,93.48,0.13
lindau_000005_000019_gtFine_labelTrainIds.png,95.68,93.0,-2.69
lindau_000006_000019_gtFine_labelTrainIds.png,94.06,91.99,-2.07
lindau_000007_000019_gtFine_labelTrainIds.png,93.54,92.99,-0.55
lindau_000008_000019_gtFine_labelTrainIds.png,92.53,92.55,0.02
