File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU
frankfurt_000001_023369_gtFine_labelTrainIds.png,91.44,89.56,-1.88
frankfurt_000001_023769_gtFine_labelTrainIds.png,95.31,87.82,-7.49
frankfurt_000001_024927_gtFine_labelTrainIds.png,94.78,92.96,-1.82
frankfurt_000001_025512_gtFine_labelTrainIds.png,94.94,89.12,-5.83
frankfurt_000001_025713_gtFine_labelTrainIds.png,94.12,89.74,-4.38
frankfurt_000001_025921_gtFine_labelTrainIds.png,94.34,89.51,-4.84
frankfurt_000001_027325_gtFine_labelTrainIds.png,94.4,92.04,-2.36
frankfurt_000001_028232_gtFine_labelTrainIds.png,93.72,87.08,-6.64
frankfurt_000001_028335_gtFine_labelTrainIds.png,92.79,91.73,-1.06
frankfurt_000001_028590_gtFine_labelTrainIds.png,95.18,92.38,-2.8
frankfurt_000001_028854_gtFine_labelTrainIds.png,92.57,90.13,-2.45
frankfurt_000001_029086_gtFine_labelTrainIds.png,93.62,85.35,-8.27
frankfurt_000001_029236_gtFine_labelTrainIds.png,93.2,91.5,-1.7
frankfurt_000001_029600_gtFine_labelTrainIds.png,89.93,86.32,-3.62
frankfurt_000001_030067_gtFine_labelTrainIds.png,95.25,92.22,-3.04
frankfurt_000001_030310_gtFine_labelTrainIds.png,95.87,91.27,-4.6
frankfurt_000001_030669_gtFine_labelTrainIds.png,93.06,92.15,-0.91
frankfurt_000001_031266_gtFine_labelTrainIds.png,95.89,92.93,-2.97
frankfurt_000001_031416_gtFine_labelTrainIds.png,96.27,92.7,-3.56
frankfurt_000001_032018_gtFine_labelTrainIds.png,91.86,88.92,-2.94
frankfurt_000001_032556_gtFine_labelTrainIds.png,94.79,92.21,-2.58
frankfurt_000001_032711_gtFine_labelTrainIds.png,94.21,94.35,0.14
frankfurt_000001_032942_gtFine_labelTrainIds.png,94.68,91.86,-2.82
frankfurt_000001_033655_gtFine_labelTrainIds.png,93.36,92.22,-1.14
frankfurt_000001_034047_gtFine_labelTrainIds.png,93.35,91.76,-1.59
