File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU,MIoU Prediction 3,MIoU Prediction 4,Delta MIoU2
munster_000002_000019_gtFine_labelTrainIds.png,95.28,95.57,0.29,95.05,96.11,1.06
munster_000134_000019_gtFine_labelTrainIds.png,96.43,94.42,-2,94.98,96.01,1.03
munster_000079_000019_gtFine_labelTrainIds.png,95.61,93.45,-2.16,94.85,95.85,1
frankfurt_000001_064130_gtFine_labelTrainIds.png,92.9,88.78,-4.12,92.43,93.38,0.95
munster_000169_000019_gtFine_labelTrainIds.png,94.43,90.79,-3.64,91.75,92.7,0.95
munster_000072_000019_gtFine_labelTrainIds.png,94.3,92.19,-2.11,94.07,94.99,0.92
munster_000164_000019_gtFine_labelTrainIds.png,95.9,94.82,-1.08,95.61,96.51,0.9
munster_000038_000019_gtFine_labelTrainIds.png,91.5,86.15,-5.34,92.99,93.84,0.85
frankfurt_000001_053102_gtFine_labelTrainIds.png,91.52,87.31,-4.2,92.22,93.03,0.81
munster_000004_000019_gtFine_labelTrainIds.png,88.95,91.85,2.91,92.12,92.9,0.79
munster_000108_000019_gtFine_labelTrainIds.png,95.58,91.98,-3.61,95.05,95.78,0.73
munster_000034_000019_gtFine_labelTrainIds.png,93.84,88.07,-5.77,93.29,94.01,0.72
munster_000024_000019_gtFine_labelTrainIds.png,93.7,92.46,-1.23,95.33,96.04,0.71
munster_000059_000019_gtFine_labelTrainIds.png,93.29,89.16,-4.13,91.32,92.01,0.69
munster_000076_000019_gtFine_labelTrainIds.png,93.74,92.62,-1.12,94.24,94.93,0.69
frankfurt_000001_002759_gtFine_labelTrainIds.png,81.45,75.87,-5.58,78.02,78.69,0.67
frankfurt_000001_010156_gtFine_labelTrainIds.png,92.78,88.62,-4.16,90.65,91.24,0.58
munster_000101_000019_gtFine_labelTrainIds.png,93.05,91.07,-1.98,95.05,95.63,0.58
frankfurt_000001_060422_gtFine_labelTrainIds.png,96.32,94.36,-1.97,93.73,94.29,0.56
munster_000086_000019_gtFine_labelTrainIds.png,87.53,88.21,0.68,95.04,95.58,0.54
