File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU
jena_000054_000019_gtFine_labelTrainIds.png,30.23,34.03,3.81
strasbourg_000000_008677_gtFine_labelTrainIds.png,20.66,24.47,3.81
stuttgart_000085_000019_gtFine_labelTrainIds.png,29.08,32.88,3.8
krefeld_000000_020873_gtFine_labelTrainIds.png,24.73,28.52,3.79
tubingen_000125_000019_gtFine_labelTrainIds.png,35.1,38.89,3.79
strasbourg_000000_033838_gtFine_labelTrainIds.png,39.74,43.52,3.78
erfurt_000051_000019_gtFine_labelTrainIds.png,32.81,36.58,3.77
aachen_000046_000019_gtFine_labelTrainIds.png,31.56,35.3,3.74
hanover_000000_058189_gtFine_labelTrainIds.png,40.36,44.09,3.74
darmstadt_000035_000019_gtFine_labelTrainIds.png,40.09,43.82,3.73
zurich_000023_000019_gtFine_labelTrainIds.png,37.66,41.36,3.7
darmstadt_000069_000019_gtFine_labelTrainIds.png,22.38,26.07,3.69
monchengladbach_000000_006518_gtFine_labelTrainIds.png,30.97,34.66,3.69
stuttgart_000119_000019_gtFine_labelTrainIds.png,22.66,26.35,3.69
zurich_000111_000019_gtFine_labelTrainIds.png,31.96,35.65,3.69
bremen_000092_000019_gtFine_labelTrainIds.png,32.54,36.22,3.68
zurich_000099_000019_gtFine_labelTrainIds.png,30.15,33.83,3.68
hanover_000000_030346_gtFine_labelTrainIds.png,32.56,36.23,3.67
bochum_000000_006484_gtFine_labelTrainIds.png,52.65,56.3,3.65
hanover_000000_013814_gtFine_labelTrainIds.png,29.09,32.74,3.65
krefeld_000000_008584_gtFine_labelTrainIds.png,27.76,31.4,3.64
erfurt_000054_000019_gtFine_labelTrainIds.png,33.15,36.78,3.63
bremen_000283_000019_gtFine_labelTrainIds.png,32.67,36.29,3.62
hamburg_000000_079657_gtFine_labelTrainIds.png,26.73,30.35,3.62
darmstadt_000020_000019_gtFine_labelTrainIds.png,20.51,24.12,3.61
hamburg_000000_038915_gtFine_labelTrainIds.png,38.22,41.83,3.61
zurich_000069_000019_gtFine_labelTrainIds.png,29.93,33.54,3.61
cologne_000030_000019_gtFine_labelTrainIds.png,27.82,31.41,3.6
strasbourg_000001_010162_gtFine_labelTrainIds.png,44.76,48.36,3.6
bremen_000311_000019_gtFine_labelTrainIds.png,31.19,34.78,3.59
