Image Name,mIoU,Class 0 IoU,Class 1 IoU,Class 2 IoU,Class 3 IoU,Class 4 IoU,Class 5 IoU,Class 6 IoU,Class 7 IoU,Class 8 IoU,Class 9 IoU,Class 10 IoU,Class 11 IoU,Class 12 IoU,Class 13 IoU,Class 14 IoU,Class 15 IoU,Class 16 IoU,Class 17 IoU,Class 18 IoU
aachen_000050_000019,0.3127,0.8363,0.1925,0.9065,0,0,0.3278,0,0.0451,0.7469,0.4762,0.8998,0.3009,0,0.9318,0,0,0,0,0.2776
aachen_000051_000019,0.3981,0.9017,0.9158,0.8738,0,0,0.534,0.019,0.3778,0.8189,0.0152,0.895,0.754,0,0.9193,0,0,0,0,0.5403
aachen_000052_000019,0.3909,0.8896,0.5158,0.74,0.6468,0,0.3691,0.2285,0.2002,0.9056,0.1641,0.9214,0.5311,0.2127,0.9184,0,0,0,0,0.1842
aachen_000053_000019,0.3517,0.852,0.4515,0.3813,0,0,0.3784,0.2247,0.9148,0.8967,0.6833,0.8887,0,0.0163,0.5382,0,0,0,0.4557,0
aachen_000054_000019,0.3223,0.9051,0.326,0.8056,0,0,0.4711,0.3119,0.0149,0.8933,0.06,0.8798,0.5648,0,0.8915,0,0,0,0,0
aachen_000055_000019,0.343,0.8724,0.8522,0,0,0.2119,0.3496,0,0.4461,0.9128,0.5314,0.9016,0.7471,0,0.6918,0,0,0,0,0
aachen_000056_000019,0.2717,0.8006,0.346,0.0235,0.3542,0.1609,0.4389,0,0.567,0.9028,0.0086,0.9047,0,0,0.6555,0,0,0,0,0
aachen_000057_000019,0.3506,0.829,0.8019,0.8442,0.5477,0,0.3689,0,0.6626,0.9215,0.2154,0.0784,0.5101,0,0.8813,0,0,0,0,0
aachen_000058_000019,0.3087,0.8416,0.3914,0.8885,0,0,0.3123,0.3296,0.1699,0.9227,0.1423,0.8979,0.0311,0,0.9376,0,0,0,0,0
aachen_000059_000019,0.3162,0.9107,0.8474,0.9147,0,0.1011,0.1866,0.0307,0.1776,0.8456,0.1975,0.8659,0.2051,0,0.7249,0,0,0,0,0
